date,mqaid,ticker,mgmtfees,expense_ratio,bid_ask_spread_pct,create_redeem_fee,create_redeem_size,etf_implied_liquidity,fund_pct_premium,currency_hedged_indicator,derivatives_based,securities_lending,fund_incept_dt,create_redeem_process,creation_cutoff_time,settlement_cycle,rebalancing_frequency,replication_strategy,fund_port_dt,total_number_of_holdings_in_port,nav_pricing_methodology,fund_avg_dvd_yld,fund_pe_ratio,fund_pricing_source,avgvolume_6M,etf_name,duration
01/31/2020,18383M48,WXSP US Equity,0.180,0.180,0.0641,7500.0000,200000.0000,181214996.0000,-0.2438,N,N,Y,03/09/2010,In-kind,16:00 est,T+3,Monthly,Optimized,03/20/2013,1490.0000,Primary Market Close,2.3661,22.2697,NYSE Arca LLC,82009.984375,WILSHIRE 4500 COMPLETION ETF,
01/31/2020,33739P80,RFEU US Equity,0.830,0.830,0.2756,2600.0000,50000.0000,1991873.0000,0.6701,Y,Y,Unknown,04/14/2016,Unknown,Unknown,T+3,Unknown,Not Applicable,01/31/2020,133.0000,Unknown,4.0540,16.4998,Brown Brothers Harriman & Co,3663.6328125,FIRST TR DYNAMIC EUROPE ETF,
01/31/2020,25190F40,ITBFF US Equity,0.000,0.070,8.3201,7500.0000,20000.0000,181214996.0000,-0.2438,N,N,Y,03/09/2010,In-kind/Cash,16:00 DST,T+2,Unknown,Optimized,01/30/2020,67.0000,Primary Market Close,2.3661,22.2697,NYSE Arca LLC,540.46875,ISHARES USD TRSRY 1-3Y USD D,
01/31/2020,76139688,RDIV US Equity,0.390,0.390,0.0508,250.0000,50000.0000,8220674.0000,-0.0011,N,N,Y,09/30/2013,In-kind/Cash,16:00 EST,T+2,Quarterly,Full,01/30/2020,61.0000,Primary Market Close,4.6094,37.2980,State Street Bank and Trust Co,189110.703125,INVESCO S&P ULTRA DIVIDEND,
01/31/2020,44052C10,HKOR US Equity,0.380,0.380,0.0508,0.0000,50000.0000,8220674.0000,-1.8519,N,N,N,03/04/2014,Cash,15:00 EST,T+3,Yearly,Optimized,03/31/2016,195.0000,Primary Market Close,1.7883,12.2133,State Street Bank and Trust Co,189110.703125,HORIZONS KOREA KOSPI 200 ETF,
01/31/2020,76139687,RGRO US Equity,0,0,0.0508,0.0000,50000.0000,8220674.0000,-1.8519,N,N,Unknown,03/04/2014,Unknown,Unknown,Unknown,Unknown,Unknown,03/31/2016,195.0000,Unknown,1.7883,12.2133,State Street Bank and Trust Co,189110.703125,SPDR BLOOMBERG US LC GR-ESG,
01/31/2020,ISRZF,ISRZF US Equity,0.000,0,0.0508,0.0000,2500.0000,8220674.0000,-1.8519,N,N,Y,03/04/2014,In-kind/Cash,16:00 DST,T+2,Monthly,Optimized,01/30/2020,1025.0000,Primary Market Close,1.7883,12.2133,State Street Bank and Trust Co,1095.8828125,ISHARES USD HY CORP USD DIST,
01/31/2020,26846130,GGEM US Equity,0.850,0.850,0.1499,1000.0000,50000.0000,4748288.0000,-0.4646,N,N,N,06/23/2011,In-kind/Cash,17:30 EST,T+3,Quarterly,Full,10/03/2013,4.0000,Primary Market Close,2.4219,25.5909,NYSE Arca LLC,3974.5703125,EGSHARES CONSUMER GOODS GEMS,
01/31/2020,46435U36,IDRV US Equity,0.470,0.470,0.2496,3375.0000,100000.0000,21181618.0000,-0.3298,N,N,Y,04/18/2019,In-kind/Cash,16:00 EST,T+2,Semi-Annually,Full,01/30/2020,114.0000,Primary Market Close,2.4532,18.8003,Bank of New York Mellon/The,2403.328125,ISHARES SELF-DRIVING EV&TECH,
01/31/2020,WSLF,WSLF US Equity,0,0,0.2496,3375.0000,100000.0000,21181618.0000,-0.3298,N,N,Y,04/18/2019,In-kind/Cash,16:00 EST,T+2,Semi-Annually,Full,01/30/2020,114.0000,Primary Market Close,2.4532,18.8003,Bank of New York Mellon/The,2403.328125,ISHARES SELF-DRIVING EV&TECH,
01/31/2020,26923H10,RISE US Equity,0.750,0.750,0.3888,500.0000,25000.0000,21181618.0000,0.0157,N,Y,N,02/19/2015,In-kind/Cash,16:00 EST,T+3,Quarterly,Not Applicable,01/30/2020,3.0000,Primary Market Close,2.4532,18.8003,US Bancorp Fund Services LLC,626.3828125,SIT RISING RATE ETF,
01/31/2020,43010172,DRVN US Equity,0.850,0.850,0.3888,500.0000,50000.0000,21181618.0000,-0.1812,N,N,Y,06/01/2015,In-kind/Cash,16:00 EST,T+3,Monthly,Optimized,04/14/2016,5.0000,Primary Market Close,2.4532,18.8003,US Bancorp Fund Services LLC,626.3828125,HIGHLAND HFR EVENT-DRIVEN ET,
01/31/2020,43010173,HHFR US Equity,0.850,0.850,0.3888,500.0000,50000.0000,21181618.0000,1.5234,N,N,Y,06/01/2015,In-kind/Cash,16:00 EST,T+3,Monthly,Optimized,04/14/2016,2.0000,Primary Market Close,2.4532,18.8003,US Bancorp Fund Services LLC,626.3828125,HIGHLAND HFR GLOBAL ETF,
01/31/2020,17325K52,DLBR US Equity,1.500,1.500,1.6032,15.0000,25000.0000,21181618.0000,0.3212,N,Y,N,08/15/2017,Cash,Unknown,T+3,Daily,Derivative,04/14/2016,2.0000,Primary Market Close,2.4532,18.8003,US Bancorp Fund Services LLC,3388.1640625,VELOCITYSHARES SHRT LBR ETN,
01/31/2020,68386C65,OVLU US Equity,0.190,0.190,0.1112,1200.0000,50000.0000,288188243.0000,-0.0020,N,N,Y,11/08/2017,In-kind/Cash,16:00 EST,T+2,Yearly,Full,01/30/2020,654.0000,Primary Market Close,2.4202,18.3804,JP Morgan Investment Managemen,2793.0390625,INVESCO RSL 1000 VAL ETF,
01/31/2020,33735D10,FVL US Equity,0.500,0.700,0.2259,500.0000,50000.0000,1799336.0000,-0.0170,N,N,N,06/12/2003,In-kind,16:00 EST,T+3,Monthly,Full,01/31/2020,98.0000,Primary Market Close,1.6905,28.0415,Bank of New York Mellon/The,4824.265625,FIRST TRUST VALUE LINE 100,
01/31/2020,44044710,HZOZF US Equity,1.150,1.200,0.2259,0.0000,100000.0000,1799336.0000,-0.0170,Y,Y,N,06/12/2003,Cash,09:30 EST,T+1,Daily,Derivative,01/30/2020,98.0000,Primary Market Close,1.6905,28.0415,OTC,308.1171875,BETAPRO CRUDE OIL 2X DAILY B,
01/31/2020,06745R69,OIL US Equity,0.450,0.450,0.1396,0.0000,50000.0000,1799336.0000,1.2651,N,Y,N,11/18/2016,Cash,10:15 EST,T+3,Not Applicable,Derivative,01/30/2020,98.0000,Primary Market Close,1.6905,28.0415,OTC,121343.398438,IPATH SERIES B S&P GSCI CRUD,
01/31/2020,18383M43,BSJE US Equity,0.420,0.430,0.1396,500.0000,100000.0000,1799336.0000,-0.0814,N,N,Y,01/25/2011,In-kind,16:00 est,T+3,Monthly,Optimized,12/26/2014,98.0000,Primary Market Close,1.6905,28.0415,NYSE Arca LLC,121343.398438,GUGGENHEIM BULLETSHARES 2014,
01/31/2020,30304P10,FOL US Equity,0.750,0.750,0.7356,500.0000,100000.0000,270795070.0000,-14.4923,N,Y,N,02/23/2011,Cash,11:00 EST,T+1,Daily,Derivative,01/30/2020,276.0000,Primary Market Close,1.9755,23.1208,NYSE Arca LLC,880.96875,FACTORSHARES 2X: OIL-S&P500,
01/31/2020,55610R10,UMM US Equity,0.000,1.250,0.7214,900.0000,10000.0000,307595455.0000,-3.3713,N,Y,Unknown,06/30/2009,Unknown,Unknown,Unknown,Unknown,Unknown,01/31/2020,398.0000,Unknown,0.0232,25.4599,NYSE Arca LLC,237.890625,MACROSHARES MAJ MET HOU UP,
01/31/2020,78467850,SVD US Equity,0.000,0.850,0.7214,900.0000,100000.0000,307595455.0000,0.0285,N,Y,Unknown,10/17/2007,Unknown,Unknown,Unknown,Unknown,Unknown,02/28/2009,398.0000,Unknown,3.6010,11.8035,SPA ETFs/USA,237.890625,SPA ETF MARKET GRADER MID CA,
01/31/2020,78467V60,SRLN US Equity,0.700,0.700,0.0370,50.0000,50000.0000,307595455.0000,-0.2996,N,N,N,04/04/2013,Cash,16:00 EST,T+3,Other,Not Applicable,01/30/2020,315.0000,Primary Market Close,3.6010,11.8035,State Street Bank and Trust Co,503056.28125,SPDR BLACKSTONE/GSO SEN LOAN,4.09328288988
01/31/2020,33939L76,SKOR US Equity,0.220,0.220,0.1453,500.0000,50000.0000,83780177.0000,0.0326,N,N,N,11/13/2014,Unknown,14:00 EST,Unknown,Monthly,Optimized,01/30/2020,389.0000,Unknown,1.8753,20.6496,JP Morgan Investment Managemen,6860.8828125,FLEXSHARES CREDIT-SCORED US,4.6958779245
01/31/2020,18383M44,BSJD US Equity,0.420,0.420,0.0370,500.0000,100000.0000,307595455.0000,-0.0445,N,N,Y,01/25/2011,In-kind,16:00 est,T+3,Monthly,Optimized,12/24/2013,315.0000,Primary Market Close,3.6010,11.8035,NYSE Arca LLC,503056.28125,GUGGENHEIM BULLETSHARES 2013,
01/31/2020,25153Q70,WMWXF US Equity,0.750,0.750,0.0370,0.0000,1000000.0000,3916089.0000,-0.0445,N,N,N,10/17/2007,Cash,16:00 est,Unknown,Not Applicable,Derivative,12/24/2013,315.0000,Primary Market Close,3.6010,11.8035,NYSE Arca LLC,607.0859375,ELEMENTS LKD TO MORNINGSTAR,
01/31/2020,06739H19,JJTFF US Equity,0.750,0.750,6.5887,0.0000,50000.0000,4748288.0000,-0.1353,N,Y,N,06/24/2008,Cash,10:15 EST,T+3,Yearly,Derivative,09/25/2014,12.0000,Primary Market Close,2.7817,18.7862,Financial Industry Regulatory,15.671875,IPATH BLOOMBERG TIN SUBINDEX,
01/31/2020,59005510,OUNZ US Equity,0.400,0.400,0.0728,500.0000,50000.0000,15236637.0000,0.2291,N,N,N,05/16/2014,In-kind,16:00 est,T+3,Not Applicable,Full,01/31/2020,16.0000,Primary Market Close,1.1635,31.2311,NYSE Arca LLC,56283.5625,VANECK MERK GOLD TRUST,
01/31/2020,39525810,GCC US Equity,0.850,0.750,0.2182,200.0000,50000.0000,1522664.0000,-0.0725,N,N,Unknown,01/24/2008,Cash,10:00 EST,T+3,Daily,Derivative,01/30/2020,63.0000,Primary Market Close,1.3769,11.8035,State Street Bank and Trust Co,34944.859375,WISDOMTREE CONTINUOUS COMMOD,
01/31/2020,H9811P12,ZKBGF US Equity,0.300,0.400,0.2182,200.0000,50000.0000,1522664.0000,-0.0725,N,N,N,01/24/2008,Cash,Unknown,T+3,Daily,Full,11/29/2019,63.0000,Primary Market Close,1.3769,11.8035,OTC,9.28125,ZKB GOLD ETF AA USD,
01/31/2020,TTH,TTHYL US Equity,0.000,0.000,0.2167,1000.0000,100.0000,1529127.0000,-2.3056,N,N,Y,02/01/2000,In-kind,15:59 EST,T+3,Quarterly,Full,12/21/2011,11.0000,Fair Value,5.6126,17.3855,NYSE Arca LLC,17165.2265625,TELECOM HOLDRS TRUST,
01/31/2020,25154W50,BUNL US Equity,0.500,0.500,0.2182,0.0000,50000.0000,1522664.0000,-0.0725,N,Y,N,03/22/2011,Cash,16:00 EST,T+3,Not Applicable,Derivative,01/30/2020,311.0000,Primary Market Close,3.8462,25.0513,NYSE Arca LLC,750.359375,DB GERMAN BUND FUTURES,
01/31/2020,86330E58,XRT US Equity,0.350,0.350,0.0231,250.0000,50000.0000,4372588.0000,-0.0092,N,N,Y,06/22/2006,In-kind,16:00 EST,T+2,Quarterly,Full,01/31/2020,88.0000,Primary Market Close,1.9189,52.8976,State Street Bank and Trust Co,4685883.0,SPDR S&P RETAIL ETF,
01/31/2020,86330E59,XPH US Equity,0.350,0.350,0.0912,250.0000,50000.0000,2258640.0000,0.1307,N,N,Y,06/22/2006,In-kind,16:00 EST,T+2,Quarterly,Full,01/31/2020,41.0000,Primary Market Close,0.7472,52.8976,State Street Bank and Trust Co,87476.8828125,SPDR S&P PHARMACEUTICALS ETF,
01/31/2020,86330E55,KRE US Equity,0.350,0.350,0.0184,250.0000,50000.0000,7141646.0000,-0.0240,N,N,Y,06/22/2006,In-kind,16:00 EST,T+2,Quarterly,Full,01/31/2020,123.0000,Primary Market Close,2.7895,11.4510,State Street Bank and Trust Co,6132042.0,SPDR S&P REGIONAL BANKING,
01/31/2020,86330E53,BIL US Equity,0.140,0.136,0.0109,250.0000,50000.0000,7141646.0000,-0.0039,N,N,Y,05/30/2007,In-kind,16:00 EST,T+1,Monthly,Optimized,01/31/2020,13.0000,Primary Market Close,2.7895,11.4510,State Street Bank and Trust Co,1822435.5,SPDR BBG BARC 1-3 MONTH TBIL,0.0654094225974
01/31/2020,00211R81,TPSC US Equity,0.520,0.520,0.2390,250.0000,50000.0000,4340340.0000,0.0004,N,N,Y,12/02/2019,In-kind/Cash,16:00 EST,T+2,Quarterly,Full,01/31/2020,431.0000,Primary Market Close,1.7183,16.0244,State Street Bank and Trust Co,1822435.5,TIMOTHY PLAN US SMALL CAP CO,
01/31/2020,46429B56,IBMH US Equity,0.180,0.180,0.2390,150.0000,50000.0000,4340340.0000,-0.0786,N,N,Y,02/06/2014,In-kind/Cash,16:00 est,T+2,Unknown,Optimized,09/04/2019,113.0000,Primary Market Close,1.7183,16.0244,State Street Bank and Trust Co,1822435.5,ISHARES IBONDS SEP 2019 TERM,
01/31/2020,46429B52,EDEN US Equity,0.530,0.530,0.2208,1200.0000,50000.0000,452813.0000,-0.2521,N,N,Y,01/26/2012,In-kind,16:00 EST,T+2,Quarterly,Optimized,01/30/2020,45.0000,Primary Market Close,1.9417,25.9664,State Street Bank and Trust Co,6563.3828125,ISHARES MSCI DENMARK ETF,
01/31/2020,72201R20,STPZ US Equity,0.200,0.200,0.0334,500.0000,50000.0000,452813.0000,0.0701,N,N,Y,08/21/2009,In-kind/Cash,15:00 EST,T+3,Monthly,Full,01/30/2020,13.0000,Primary Market Close,1.9417,25.9664,State Street Bank and Trust Co,32683.96875,PIMCO 1-5 YEAR US TIPS INDEX,2.73981480931
01/31/2020,46429B50,EIRL US Equity,0.590,0.470,0.6553,900.0000,50000.0000,269139.0000,0.0883,N,N,Y,05/07/2010,In-kind,16:00 est,T+2,Quarterly,Full,01/30/2020,27.0000,Primary Market Close,1.9216,11.2582,State Street Bank and Trust Co,7792.328125,ISHARES MSCI IRELAND ETF,
01/31/2020,46429B51,EFNL US Equity,0.530,0.530,0.5017,1000.0000,50000.0000,438094.0000,-0.1583,N,N,Y,01/26/2012,In-kind,16:00 EST,T+2,Quarterly,Full,01/30/2020,35.0000,Unknown,4.0410,24.6760,State Street Bank and Trust Co,6693.6640625,ISHARES MSCI FINLAND ETF,
01/31/2020,46429B58,IBMG US Equity,0.180,0.180,0.5017,125.0000,50000.0000,438094.0000,-0.0342,N,N,Y,03/21/2013,In-kind,16:00 est,T+2,Quarterly,Optimized,09/05/2018,81.0000,Primary Market Close,4.0410,24.6760,State Street Bank and Trust Co,6693.6640625,ISHARES IBONDS SEP 2018 TERM,
01/31/2020,46429B59,INDA US Equity,0.000,0.680,0.0287,3500.0000,50000.0000,6483296.0000,-0.6910,N,N,Y,02/03/2012,Cash,16:00 EST,T+2,Quarterly,Optimized,01/30/2020,85.0000,Primary Market Close,1.1900,27.9354,State Street Bank and Trust Co,4153034.25,ISHARES MSCI INDIA ETF,
01/31/2020,61748A69,NVE US Equity,0,0,1.2228,500.0000,50000.0000,7796681.0000,0.0109,N,N,N,01/11/2018,In-kind/Cash,16:00 EST,T+2,Quarterly,Full,11/22/2019,29.0000,Primary Market Close,7.0834,20.5014,Bank of New York Mellon/The,8060.890625,NV ENERGY INC,
